,Date,NO2_nearest_1,NO2_nearest_2,NO2_own,hour,day,month,day_of_week,code,lon,lat
0,2022-12-31 23:00:00,8.0,9.0,18.0,23,31,12,5,ES1124A,1.239709,41.159532
1,2023-01-01 00:00:00,6.0,14.0,19.0,0,1,1,6,ES1124A,1.239709,41.159532
2,2023-01-01 01:00:00,5.0,11.0,17.0,1,1,1,6,ES1124A,1.239709,41.159532
3,2023-01-01 02:00:00,5.0,8.0,16.0,2,1,1,6,ES1124A,1.239709,41.159532
4,2023-01-01 03:00:00,4.0,6.0,14.0,3,1,1,6,ES1124A,1.239709,41.159532
5,2023-01-01 04:00:00,5.0,7.0,8.0,4,1,1,6,ES1124A,1.239709,41.159532
6,2023-01-01 05:00:00,5.0,7.0,10.0,5,1,1,6,ES1124A,1.239709,41.159532
7,2023-01-01 06:00:00,6.0,8.0,10.0,6,1,1,6,ES1124A,1.239709,41.159532
8,2023-01-01 07:00:00,5.0,8.0,12.0,7,1,1,6,ES1124A,1.239709,41.159532
9,2023-01-01 08:00:00,4.0,6.0,12.0,8,1,1,6,ES1124A,1.239709,41.159532
10,2023-01-01 09:00:00,5.0,6.0,12.0,9,1,1,6,ES1124A,1.239709,41.159532
11,2023-01-01 10:00:00,5.0,4.0,8.0,10,1,1,6,ES1124A,1.239709,41.159532
12,2023-01-01 11:00:00,5.0,2.0,8.0,11,1,1,6,ES1124A,1.239709,41.159532
13,2023-01-01 12:00:00,5.0,4.0,9.0,12,1,1,6,ES1124A,1.239709,41.159532
14,2023-01-01 13:00:00,6.0,5.0,9.0,13,1,1,6,ES1124A,1.239709,41.159532
15,2023-01-01 14:00:00,6.0,5.0,9.0,14,1,1,6,ES1124A,1.239709,41.159532
16,2023-01-01 15:00:00,8.0,7.0,12.0,15,1,1,6,ES1124A,1.239709,41.159532
17,2023-01-01 16:00:00,10.0,12.0,19.0,16,1,1,6,ES1124A,1.239709,41.159532
18,2023-01-01 17:00:00,12.0,15.0,23.0,17,1,1,6,ES1124A,1.239709,41.159532
