,Date,NO2_nearest_1,NO2_nearest_2,hour,day,month,day_of_week,code,lon,lat
0,2022-12-31 23:00:00,24.0,23.0,23,31,12,5,ES1120A,1.191975,41.11588
1,2023-01-01 00:00:00,27.0,22.0,0,1,1,6,ES1120A,1.191975,41.11588
2,2023-01-01 01:00:00,26.0,24.0,1,1,1,6,ES1120A,1.191975,41.11588
3,2023-01-01 02:00:00,18.0,21.0,2,1,1,6,ES1120A,1.191975,41.11588
4,2023-01-01 03:00:00,11.0,19.0,3,1,1,6,ES1120A,1.191975,41.11588
5,2023-01-01 04:00:00,14.0,16.0,4,1,1,6,ES1120A,1.191975,41.11588
6,2023-01-01 05:00:00,11.0,14.0,5,1,1,6,ES1120A,1.191975,41.11588
7,2023-01-01 06:00:00,15.0,17.0,6,1,1,6,ES1120A,1.191975,41.11588
8,2023-01-01 07:00:00,16.0,17.0,7,1,1,6,ES1120A,1.191975,41.11588
9,2023-01-01 08:00:00,12.0,13.0,8,1,1,6,ES1120A,1.191975,41.11588
10,2023-01-01 09:00:00,11.0,13.0,9,1,1,6,ES1120A,1.191975,41.11588
11,2023-01-01 10:00:00,9.0,11.0,10,1,1,6,ES1120A,1.191975,41.11588
12,2023-01-01 11:00:00,7.0,9.0,11,1,1,6,ES1120A,1.191975,41.11588
13,2023-01-01 12:00:00,8.0,10.0,12,1,1,6,ES1120A,1.191975,41.11588
14,2023-01-01 13:00:00,9.0,10.0,13,1,1,6,ES1120A,1.191975,41.11588
15,2023-01-01 14:00:00,9.0,10.0,14,1,1,6,ES1120A,1.191975,41.11588
16,2023-01-01 15:00:00,21.0,13.0,15,1,1,6,ES1120A,1.191975,41.11588
17,2023-01-01 16:00:00,36.0,21.0,16,1,1,6,ES1120A,1.191975,41.11588
18,2023-01-01 17:00:00,28.0,30.0,17,1,1,6,ES1120A,1.191975,41.11588
19,2023-01-01 18:00:00,25.0,42.0,18,1,1,6,ES1120A,1.191975,41.11588
20,2023-01-01 19:00:00,26.0,27.0,19,1,1,6,ES1120A,1.191975,41.11588
21,2023-01-01 20:00:00,21.0,23.0,20,1,1,6,ES1120A,1.191975,41.11588
22,2023-01-01 21:00:00,13.0,23.0,21,1,1,6,ES1120A,1.191975,41.11588
23,2023-01-01 22:00:00,13.0,21.0,22,1,1,6,ES1120A,1.191975,41.11588
24,2023-01-01 23:00:00,14.0,25.0,23,1,1,6,ES1120A,1.191975,41.11588
25,2023-01-02 00:00:00,16.0,28.0,0,2,1,0,ES1120A,1.191975,41.11588
26,2023-01-02 01:00:00,17.0,25.0,1,2,1,0,ES1120A,1.191975,41.11588
27,2023-01-02 02:00:00,12.0,22.0,2,2,1,0,ES1120A,1.191975,41.11588
28,2023-01-02 03:00:00,14.0,15.0,3,2,1,0,ES1120A,1.191975,41.11588
29,2023-01-02 04:00:00,14.0,16.0,4,2,1,0,ES1120A,1.191975,41.11588
30,2023-01-02 05:00:00,20.0,20.0,5,2,1,0,ES1120A,1.191975,41.11588
